column_a,column_b,column_c,column_d,column_e,column_f,column_g,column_h,column_i,column_j,column_k,column_l,column_m,column_n,column_o,column_p,column_q,column_r,column_s,column_t,column_u,column_v,column_w,column_x,column_y,column_z,column_aa,column_ab,column_ac,column_ad
Afghanistan,5,1,648,16,10,2,0,3,5,true,true,false,true,true,true,false,green,0,0,false,0,1,false,false,true,false,false,black,green
Albania,3,1,29,3,6,6,0,0,3,true,false,false,true,false,true,false,red,0,0,false,0,1,false,false,false,true,false,red,red
Algeria,4,1,2388,20,8,2,2,0,3,true,true,false,false,true,false,false,green,0,0,false,0,1,true,false,false,false,false,green,white
American-Samoa,6,3,0,0,1,1,0,0,5,true,false,true,true,true,false,true,blue,0,0,false,0,0,false,true,true,true,false,blue,red
Andorra,3,1,0,0,6,0,3,0,3,true,false,true,true,false,false,false,gold,0,0,false,0,0,false,false,false,false,false,blue,red
Angola,4,2,1247,7,10,5,0,2,3,true,false,false,true,false,true,false,red,0,0,false,0,1,false,false,true,false,false,red,black
Anguilla,1,4,0,0,1,1,0,1,3,false,false,true,false,true,false,true,white,0,0,false,0,0,false,false,false,true,false,white,blue
Antigua-Barbuda,1,4,0,0,1,1,0,1,5,true,false,true,true,true,true,false,red,0,0,false,0,1,false,true,false,false,false,black,red
Argentina,2,3,2777,28,2,0,0,3,2,false,false,true,false,true,false,false,blue,0,0,false,0,0,false,false,false,false,false,blue,blue
Argentine,2,3,2777,28,2,0,0,3,3,false,false,true,true,true,false,false,blue,0,0,false,0,1,false,false,false,false,false,blue,blue
Australia,6,2,7690,15,1,1,0,0,3,true,false,true,false,true,false,false,blue,0,1,true,1,6,false,false,false,false,false,white,blue
Austria,3,1,84,8,4,0,0,3,2,true,false,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,red
Bahamas,1,4,19,0,1,1,0,3,3,false,false,true,true,false,true,false,blue,0,0,false,0,0,false,true,false,false,false,blue,blue
Bahrain,5,1,1,0,8,2,0,0,2,true,false,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,white,red
Bangladesh,5,1,143,90,6,2,0,0,2,true,true,false,false,false,false,false,green,1,0,false,0,0,false,false,false,false,false,green,green
Barbados,1,4,0,0,1,1,3,0,3,false,false,true,true,false,true,false,blue,0,0,false,0,0,false,false,true,false,false,blue,blue
Belgium,3,1,31,10,6,0,3,0,3,true,false,false,true,false,true,false,gold,0,0,false,0,0,false,false,false,false,false,black,red
Belize,1,4,23,0,1,1,0,2,8,true,true,true,true,true,true,true,blue,1,0,false,0,0,false,false,true,true,true,red,red
Benin,4,1,113,3,3,5,0,0,2,true,true,false,false,false,false,false,green,0,0,false,0,1,false,false,false,false,false,green,green
Bermuda,1,4,0,0,1,1,0,0,6,true,true,true,true,true,true,false,red,1,1,true,1,0,false,false,true,true,false,white,red
Bhutan,5,1,47,1,10,3,0,0,4,true,false,false,false,true,true,true,orange,4,0,false,0,0,false,false,false,true,false,orange,red
Bolivia,2,3,1099,6,2,0,0,3,3,true,true,false,true,false,false,false,red,0,0,false,0,0,false,false,false,false,false,red,green
Botswana,4,2,600,1,10,5,0,5,3,false,false,true,false,true,true,false,blue,0,0,false,0,0,false,false,false,false,false,blue,blue
Brazil,2,3,8512,119,6,0,0,0,4,false,true,true,true,true,false,false,green,1,0,false,0,22,false,false,false,false,true,green,green
British-Virgin-Isles,1,4,0,0,1,1,0,0,6,true,true,true,true,true,false,true,blue,0,1,true,1,0,false,false,true,true,true,white,blue
Brunei,5,1,6,0,10,2,0,0,4,true,false,false,true,true,true,false,gold,0,0,false,0,0,false,true,true,true,true,white,gold
Bulgaria,3,1,111,9,5,6,0,3,5,true,true,true,true,true,false,false,red,0,0,false,0,1,false,false,true,true,false,white,red
Burkina,4,4,274,7,3,5,0,2,3,true,true,false,true,false,false,false,red,0,0,false,0,1,false,false,false,false,false,red,green
Burma,5,1,678,35,10,3,0,0,3,true,false,true,false,true,false,false,red,0,0,false,1,14,false,false,true,true,false,blue,red
Burundi,4,2,28,4,10,5,0,0,3,true,true,false,false,true,false,false,red,1,0,true,0,3,false,false,false,false,false,white,white
Cameroon,4,1,474,8,3,1,3,0,3,true,true,false,true,false,false,false,gold,0,0,false,0,1,false,false,false,false,false,green,gold
Canada,1,4,9976,24,1,1,2,0,2,true,false,false,false,true,false,false,red,0,0,false,0,0,false,false,false,true,false,red,red
Cape-Verde-Islands,4,4,4,0,6,0,1,2,5,true,true,false,true,false,true,true,gold,0,0,false,0,1,false,false,false,true,false,red,green
Cayman-Islands,1,4,0,0,1,1,0,0,6,true,true,true,true,true,false,true,blue,1,1,true,1,4,false,false,true,true,true,white,blue
Central-African-Republic,4,1,623,2,10,5,1,0,5,true,true,true,true,true,false,false,gold,0,0,false,0,1,false,false,false,false,false,blue,gold
Chad,4,1,1284,4,3,5,3,0,3,true,false,true,true,false,false,false,gold,0,0,false,0,0,false,false,false,false,false,blue,red
Chile,2,3,757,11,2,0,0,2,3,true,false,true,false,true,false,false,red,0,0,false,1,1,false,false,false,false,false,blue,red
China,5,1,9561,1008,7,6,0,0,2,true,false,false,true,false,false,false,red,0,0,false,0,5,false,false,false,false,false,red,red
Colombia,2,4,1139,28,2,0,0,3,3,true,false,true,true,false,false,false,gold,0,0,false,0,0,false,false,false,false,false,gold,red
Comorro-Islands,4,2,2,0,3,2,0,0,2,false,true,false,false,true,false,false,green,0,0,false,0,4,true,false,false,false,false,green,green
Congo,4,2,342,2,10,5,0,0,3,true,true,false,true,false,false,false,red,0,0,false,0,1,false,false,true,true,false,red,red
Cook-Islands,6,3,0,0,1,1,0,0,4,true,false,true,false,true,false,false,blue,1,1,true,1,15,false,false,false,false,false,white,blue
Costa-Rica,1,4,51,2,2,0,0,5,3,true,false,true,false,true,false,false,blue,0,0,false,0,0,false,false,false,false,false,blue,blue
Cuba,1,4,115,10,2,6,0,5,3,true,false,true,false,true,false,false,blue,0,0,false,0,1,false,true,false,false,false,blue,blue
Cyprus,3,1,9,1,6,1,0,0,3,false,true,false,true,true,false,false,white,0,0,false,0,0,false,false,true,true,false,white,white
Czechoslovakia,3,1,128,15,5,6,0,0,3,true,false,true,false,true,false,false,white,0,0,false,0,0,false,true,false,false,false,white,red
Denmark,3,1,43,5,6,1,0,0,2,true,false,false,false,true,false,false,red,0,1,false,0,0,false,false,false,false,false,red,red
Djibouti,4,1,22,0,3,2,0,0,4,true,true,true,false,true,false,false,blue,0,0,false,0,1,false,true,false,false,false,white,green
Dominica,1,4,0,0,1,1,0,0,6,true,true,true,true,true,true,false,green,1,0,false,0,10,false,false,false,true,false,green,green
Dominican-Republic,1,4,49,6,2,0,0,0,3,true,false,true,false,true,false,false,blue,0,1,false,0,0,false,false,false,false,false,blue,blue
Ecuador,2,3,284,8,2,0,0,3,3,true,false,true,true,false,false,false,gold,0,0,false,0,0,false,false,false,false,false,gold,red
Egypt,4,1,1001,47,8,2,0,3,4,true,false,false,true,true,true,false,black,0,0,false,0,0,false,false,false,true,true,red,black
El-Salvador,1,4,21,5,2,0,0,3,2,false,false,true,false,true,false,false,blue,0,0,false,0,0,false,false,false,false,false,blue,blue
Equatorial-Guinea,4,1,28,0,10,5,0,3,4,true,true,true,false,true,false,false,green,0,0,false,0,0,false,true,false,false,false,green,red
Ethiopia,4,1,1222,31,10,1,0,3,3,true,true,false,true,false,false,false,green,0,0,false,0,0,false,false,false,false,false,green,red
Faeroes,3,4,1,0,6,1,0,0,3,true,false,true,false,true,false,false,white,0,1,false,0,0,false,false,false,false,false,white,white
Falklands-Malvinas,2,3,12,0,1,1,0,0,6,true,true,true,true,true,false,false,blue,1,1,true,1,0,false,false,true,true,true,white,blue
Fiji,6,2,18,1,1,1,0,0,7,true,true,true,true,true,false,true,blue,0,2,true,1,0,false,false,true,true,false,white,blue
Finland,3,1,337,5,9,1,0,0,2,false,false,true,false,true,false,false,white,0,1,false,0,0,false,false,false,false,false,white,white
France,3,1,547,54,3,0,3,0,3,true,false,true,false,true,false,false,white,0,0,false,0,0,false,false,false,false,false,blue,red
French-Guiana,2,4,91,0,3,0,3,0,3,true,false,true,false,true,false,false,white,0,0,false,0,0,false,false,false,false,false,blue,red
French-Polynesia,6,3,4,0,3,0,0,3,5,true,false,true,true,true,true,false,red,1,0,false,0,1,false,false,true,false,false,red,red
Gabon,4,2,268,1,10,5,0,3,3,false,true,true,true,false,false,false,green,0,0,false,0,0,false,false,false,false,false,green,blue
Gambia,4,4,10,1,1,5,0,5,4,true,true,true,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,green
Germany-DDR,3,1,108,17,4,6,0,3,3,true,false,false,true,false,true,false,gold,0,0,false,0,0,false,false,true,false,false,black,gold
Germany-FRG,3,1,249,61,4,1,0,3,3,true,false,false,true,false,true,false,black,0,0,false,0,0,false,false,false,false,false,black,gold
Ghana,4,4,239,14,1,5,0,3,4,true,true,false,true,false,true,false,red,0,0,false,0,1,false,false,false,false,false,red,green
Gibraltar,3,4,0,0,1,1,0,1,3,true,false,false,true,true,false,false,white,0,0,false,0,0,false,false,true,false,false,white,red
Greece,3,1,132,10,6,1,0,9,2,false,false,true,false,true,false,false,blue,0,1,false,1,0,false,false,false,false,false,blue,blue
Greenland,1,4,2176,0,6,1,0,0,2,true,false,false,false,true,false,false,white,1,0,false,0,0,false,false,false,false,false,white,red
Grenada,1,4,0,0,1,1,0,0,3,true,true,false,true,false,false,false,gold,1,0,false,0,7,false,true,false,true,false,red,red
Guam,6,1,0,0,1,1,0,0,7,true,true,true,true,true,false,true,blue,0,0,false,0,0,false,false,true,true,true,red,red
Guatemala,1,4,109,8,2,0,3,0,2,false,false,true,false,true,false,false,blue,0,0,false,0,0,false,false,false,false,false,blue,blue
Guinea,4,4,246,6,3,2,3,0,3,true,true,false,true,false,false,false,gold,0,0,false,0,0,false,false,false,false,false,red,green
Guinea-Bissau,4,4,36,1,6,5,1,2,4,true,true,false,true,false,true,false,gold,0,0,false,0,1,false,false,false,false,false,red,green
Guyana,2,4,215,1,1,4,0,0,5,true,true,false,true,true,true,false,green,0,0,false,0,0,false,true,false,false,false,black,green
Haiti,1,4,28,6,3,0,2,0,2,true,false,false,false,false,true,false,black,0,0,false,0,0,false,false,false,false,false,black,red
Honduras,1,4,112,4,2,0,0,3,2,false,false,true,false,true,false,false,blue,0,0,false,0,5,false,false,false,false,false,blue,blue
Hong-Kong,5,1,1,5,7,3,0,0,6,true,true,true,true,true,false,true,blue,1,1,true,1,0,false,false,true,true,true,white,blue
Hungary,3,1,93,11,9,6,0,3,3,true,true,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,green
Iceland,3,4,103,0,6,1,0,0,3,true,false,true,false,true,false,false,blue,0,1,false,0,0,false,false,false,false,false,blue,blue
India,5,1,3268,684,6,4,0,3,4,false,true,true,false,true,false,true,orange,1,0,false,0,0,false,false,true,false,false,orange,green
Indonesia,6,2,1904,157,10,2,0,2,2,true,false,false,false,true,false,false,red,0,0,false,0,0,false,false,false,false,false,red,white
Iran,5,1,1648,39,6,2,0,3,3,true,true,false,false,true,false,false,red,0,0,false,0,0,false,false,true,false,true,green,red
Iraq,5,1,435,14,8,2,0,3,4,true,true,false,false,true,true,false,red,0,0,false,0,3,false,false,false,false,false,red,black
Ireland,3,4,70,3,1,0,3,0,3,false,true,false,false,true,false,true,white,0,0,false,0,0,false,false,false,false,false,green,orange
Israel,5,1,21,4,10,7,0,2,2,false,false,true,false,true,false,false,white,0,0,false,0,1,false,false,false,false,false,blue,blue
Italy,3,1,301,57,6,0,3,0,3,true,true,false,false,true,false,false,white,0,0,false,0,0,false,false,false,false,false,green,red
Ivory-Coast,4,4,323,7,3,5,3,0,3,true,true,false,false,true,false,false,white,0,0,false,0,0,false,false,false,false,false,red,green
Jamaica,1,4,11,2,1,1,0,0,3,false,true,false,true,false,true,false,green,0,0,true,0,0,false,true,false,false,false,gold,gold
Japan,5,1,372,118,9,7,0,0,2,true,false,false,false,true,false,false,white,1,0,false,0,1,false,false,false,false,false,white,white
Jordan,5,1,98,2,8,2,0,3,4,true,true,false,false,true,true,false,black,0,0,false,0,1,false,true,false,false,false,black,green
Kampuchea,5,1,181,6,10,3,0,0,2,true,false,false,true,false,false,false,red,0,0,false,0,0,false,false,true,false,false,red,red
